sample_name	alias	unit_name	platform	datatype
P013	tumor	A0012	ILLUMINA	atac
P013	tumor	D0037	ILLUMINA	dna
P013	normal	D0080	ILLUMINA	dna
P013	tumor	R027	ILLUMINA	rna
P016	tumor	A0026	ILLUMINA	atac
P016	tumor	R048	ILLUMINA	rna
P016	normal	S078	ILLUMINA	dna
P016	tumor	S094	ILLUMINA	dna
P018	tumor	A0013	ILLUMINA	atac
P018	tumor	R028	ILLUMINA	rna
P018	tumor	S039	ILLUMINA	dna
P018	normal	S081	ILLUMINA	dna
P019	tumor	A0014	ILLUMINA	atac
P019	tumor	R030	ILLUMINA	rna
P019	tumor	S041	ILLUMINA	dna
P019	normal	S156	ILLUMINA	dna
P020	tumor	A0015	ILLUMINA	atac
P020	tumor	R031	ILLUMINA	rna
P020	tumor	S044	ILLUMINA	dna
P020	normal	S158	ILLUMINA	dna
P022	tumor	A0017	ILLUMINA	atac
P022	normal	a0225	ILLUMINA	dna
P022	tumor	R033	ILLUMINA	rna
P022	tumor	S048	ILLUMINA	dna
P023	tumor	A0018	ILLUMINA	atac
P023	tumor	a0051	ILLUMINA	dna
P023	normal	a0089	ILLUMINA	dna
P023	tumor	R035	ILLUMINA	rna
P024	normal	435N	ILLUMINA	dna
P024	tumor	435T	ILLUMINA	dna
P024	tumor	A0019	ILLUMINA	atac
P024	tumor	R038	ILLUMINA	rna
P026	tumor	A0021	ILLUMINA	atac
P026	tumor	R042	ILLUMINA	rna
P026	tumor	S059	ILLUMINA	dna
P026	normal	S090	ILLUMINA	dna
P028	normal	438N	ILLUMINA	dna
P028	tumor	438T	ILLUMINA	dna
P028	tumor	A0022	ILLUMINA	atac
P028	tumor	R044	ILLUMINA	rna
